2018年 医 保 药 品 目 录,,,,,,,,,,
,,,,,,,,,,,
序号,医保项目编码,医保项目名称,统计类别,目录等级,医疗目录,工伤目录,生育目录,普通人员支付类型,特殊人群支付类型,居民支付类型
40,81200000003,拐杖,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
41,81200000004,颈牵引托,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
42,81200000005,木质钉板鞋,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
43,81200000006,木质拐杖,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
44,81200000007,前臂吊带,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
45,81200000008,头颈胸固定支柱,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
46,81200000009,外固定支架,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
47,81200000010,下肢牵引带,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
48,81200000011,支具,材料费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
49,81200000012,金属管,材料费,全自费,属于,属于,不属于,,,
50,81200000013,高分子可塑性外固定夹板矫形支架（限四肢骨折）,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
51,81300000001,材料（100%自付）,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
52,81300000002,材料（10%自付）,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
53,81300000003,材料（20%自付）,材料费,乙类,属于,属于,不属于,先支付20%,无先支付,先支付20%
54,81300000004,离休干部审批材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
55,81300000005,Periocheck试剂盒,材料费,乙类,属于,属于,不属于,先支付100%,先支付100%,先支付100%
56,81300000006,PIU导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
57,81300000007,泵管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
58,81300000008,避光输液器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
59,81300000009,弹力绷带,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
60,81300000010,弹力网帽,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
61,81300000011,导针,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
62,81300000012,碘液微型盖,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
63,81300000013,腹膜透析导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
64,81300000014,光敏剂,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
65,81300000015,硅管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
66,81300000016,硅油,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
67,81300000017,静脉留置导管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
68,81300000018,局部药物释放导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
69,81300000019,可吸收缝合线,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
70,81300000020,留置静脉针头,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
71,81300000021,滤除白细胞输血器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
72,81300000022,普通输液器（更换）,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
73,81300000023,气管插管套件,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
74,81300000024,取石篮,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
75,81300000026,溶栓导线,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
76,81300000027,三腔导尿管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
77,81300000028,三通管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
78,81300000029,三通延长管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
79,81300000030,肾造瘘管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
80,81300000031,肾造瘘管套件,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
81,81300000032,石膏绷带,材料费,乙类,属于,属于,属于,先支付10%,无先支付,无先支付
82,81300000033,手术切口贴膜,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
83,81300000034,输尿管支架管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
84,81300000035,输血胶管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
85,81300000037,双J导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
86,81300000038,双腔导尿管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
87,81300000040,丝状探条,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
88,81300000041,特殊采血管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
89,81300000043,贴片材料,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
90,81300000044,吸附器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
91,81300000045,吸氧面罩,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
92,81300000046,胸腔闭式引流瓶,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
93,81300000047,腰麻硬膜外联合套件,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
94,81300000048,一次性T型引流管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
95,81300000049,一次性Y型留置针,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
96,81300000050,一次性膀胱冲洗瓶,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
97,81300000051,一次性鼻导管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
98,81300000052,一次性鼻塞,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
99,81300000053,一次性避光输液器,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
100,81300000054,一次性采血器,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
101,81300000055,一次性插管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
102,81300000056,一次性长电极,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
103,81300000057,一次性穿刺针,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
104,81300000058,一次性打孔材料,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
105,81300000059,一次性弹性输液泵,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
106,81300000060,一次性导管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
107,81300000061,一次性导尿包,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
108,81300000062,一次性负极板套件,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
109,81300000063,一次性负压引流器,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
110,81300000064,一次性肝素帽,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
111,81300000065,一次性肛管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
112,81300000066,一次性肛门袋,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
113,81300000067,一次性肛门镜,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
114,81300000068,一次性灌肠冲洗袋,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
115,81300000069,一次性硅胶胃管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
116,81300000070,一次性过滤器,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
117,81300000071,一次性菌形导尿管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
118,81300000072,一次性口垫,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
119,81300000073,一次性扩宫器,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
120,81300000074,一次性扩阴器,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
121,81300000075,一次性留置静脉针,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
122,81300000076,一次性面罩,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
123,81300000077,一次性尿袋,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
124,81300000078,一次性尿管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
125,81300000079,一次性球头管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
126,81300000080,一次性三腔二囊胃管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
127,81300000081,一次性伤口敷贴,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
128,81300000082,一次性双鼻导管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
129,81300000083,一次性双腔气管导管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
130,81300000084,一次性特殊牵开器、银夹,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
131,81300000085,一次性头罩,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
132,81300000086,一次性胃管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
133,81300000087,一次性吸痰管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
134,81300000088,一次性线锯,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
135,81300000089,一次性腰穿包,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
136,81300000090,一次性银针,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
137,81300000091,一次性引流袋,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
138,81300000092,一次性引流管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
139,81300000093,一次性婴儿吸痰器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
140,81300000094,一次性营养泵管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
141,81300000095,一次性造瘘管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
142,81300000096,一次性注射器,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
143,81300000097,引流导管,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
144,81300000098,硬膜外套件,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
145,81300000099,粘弹剂,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
146,81300000100,真空采血管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
147,81300000101,转流管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
148,81300000102,明胶海绵,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
149,81300000103,胰岛素泵泵管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
150,81300000104,便盆,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
151,81300000105,冲气枕,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
152,81300000106,传呼手柄,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
153,81300000107,床单,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
154,81300000108,枕套,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
155,81300000109,枕芯,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
156,81300000110,假体,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
157,81300000111,义颌,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
158,81300000112,义齿,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
159,81300000113,义耳,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
160,81300000114,义鼻,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
161,81300000115,义眼,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
162,81300000116,义齿夹板材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
163,81300000117,口腔科用材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
164,81300000118,一次性脸盆,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
165,81300000119,一次性枕头,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
166,81300000120,一次性床单,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
167,81300000121,一次性中单,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
168,81300000122,一次性被套,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
169,81300000123,一次性小便器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
170,81300000124,一次性大便器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
171,81300000125,一次性尿布,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
172,81300000126,悬吊器,材料费,全自费,属于,属于,不属于,先支付20%,无先支付,先支付20%
173,81300000127,一次性专用胰岛素注射笔用针头,材料费,全自费,属于,属于,不属于,先支付10%,无先支付,先支付10%
174,81300000128,一次性专用胰岛素注射器,材料费,全自费,属于,属于,不属于,先支付10%,无先支付,先支付10%
175,81300000129,妇检垫,材料费,乙类,属于,属于,不属于,先支付100%,先支付100%,先支付100%
176,81300000130,传染病人特殊消耗物品,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
177,81300000131,口腔特殊一次性卫生材料及器械,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
178,81300000132,一次性备皮包,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
179,81300000133,一次性微电脑输液器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
180,81300000134,自助具,材料费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
181,81300000135,铸造金合金支托,材料费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
182,81300000136,镇痛装置,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
183,81300000137,吸脂器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
184,81300000138,医用海绵（PVF）,材料费,全自费,属于,属于,不属于,先支付10%,无先支付,先支付10%
185,81300000139,口腔矫形相关材料及器械,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
186,81300000140,体内放置的投药泵(Port),材料费,全自费,属于,属于,不属于,先支付10%,无先支付,先支付10%
187,81300000143,计算机软(光)盘,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
188,81300000144,胶片,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
189,81300000145,录像带,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
190,81300000146,面膜材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
191,81300000147,石膏模型制备,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
192,81300000149,照相底片及冲印,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
193,81300000150,照相及胶片,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
194,81300000151,玻璃体切割头,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
195,81300000152,胆红素吸附器及通路,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
196,81300000153,化疗泵,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
197,81300000154,胶囊胃肠镜,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
198,81300000155,聚巩膜透析器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
199,81300000156,内瘘穿刺针,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
200,81300000157,膨胀气体,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
201,81300000158,皮内植入化疗泵,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
202,81300000159,腔管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
203,81300000160,青光眼阀巩膜片,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
204,81300000161,人工材料模型、模板,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
205,81300000162,人工辅助泵,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
206,81300000163,人工肝治疗相关材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
207,81300000164,乳化专用刀,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
208,81300000165,硬化剂,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
209,81300000166,重水,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
210,81300000167,扁钢丝支托,材料费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
211,81300000168,男性接尿器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
212,81300000169,核医学检查用彩色胶片,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
213,81300000170,常规OSAS矫治器以外的附件,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
214,81300000171,常规固定矫治器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
215,81300000172,唇侧Index材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
216,81300000173,唇弓,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
217,81300000174,弹簧,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
218,81300000175,导板材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
219,81300000176,导萌式保持器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
220,81300000177,低位头帽牵引,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
221,81300000178,腭杆,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
222,81300000180,方弓丝,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
223,81300000181,分牙,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
224,81300000182,复诊更换牵引装置,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
225,81300000183,钢丝支托,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
226,81300000184,高分子脱敏剂,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
227,81300000185,个别托盘材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
228,81300000186,各种基托材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
229,81300000187,各种人工牙材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
230,81300000188,根管充填,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
231,81300000189,更换弓丝及附件,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
232,81300000190,功能矫治器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
233,81300000192,固定保持器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
234,81300000193,关闭器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
235,81300000194,光固化基板,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
236,81300000195,硅胶材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
237,81300000196,硅胶管或金属管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
238,81300000197,贵金属包埋材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
239,81300000198,焊接材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
240,81300000199,颌垫材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
241,81300000201,激光焊接材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
242,81300000202,胶原膜,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
243,81300000203,矫正牵引装置材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
244,81300000204,金属材料,材料费,全自费,属于,属于,不属于,,,
245,81300000205,金属加强网,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
246,81300000206,进口成型塑料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
247,81300000207,进口软衬材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
248,81300000208,精子来源,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
249,81300000209,颏兜,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
250,81300000210,口外弓,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
251,81300000211,口外弓或其他远中移动装置,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
252,81300000212,模型制备,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
253,81300000213,前方牵引器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
254,81300000214,鞘管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
255,81300000215,热凝塑料,材料费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
256,81300000216,上下颌扩弓装置及其他附加装置,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
257,81300000217,生物胶,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
258,81300000218,使用Frankel等功能矫治器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
259,81300000219,输液接头（可来福、三通、多通）,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
260,81300000220,数据存贮介质,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
261,81300000221,栓道材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
262,81300000222,栓塞剂,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
263,81300000223,双腔管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
264,81300000224,丝圈式保持器,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
265,81300000225,特殊保护剂,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
266,81300000226,特殊衬印材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
267,81300000227,特殊充填材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
268,81300000228,特殊缝线,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
269,81300000229,特殊盖髓剂,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
270,81300000230,特殊矫正装置,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
271,81300000231,特殊结扎固定材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
272,81300000232,特殊模型材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
273,81300000233,特殊填塞或止血材料,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
274,81300000234,特殊窝沟封闭剂,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
