2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
88,头孢哌酮他唑巴坦(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
89,头孢匹胺(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
90,头孢哌酮,西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
91,头孢吡肟(限重度感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重度感染,先支付20%,无先支付,先支付20%
92,头孢匹罗(限重度感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重度感染,先支付20%,无先支付,先支付20%
93,头孢噻利(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
94,比阿培南(限重症感染；其他抗菌素无效的感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重症感染；其他抗菌素无效的感染,先支付20%,无先支付,先支付20%
95,法罗培南(限有药敏试验证据),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有药敏试验证据,先支付20%,无先支付,先支付20%
96,美罗培南(限重症感染；其他抗菌素无效的感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重症感染；其他抗菌素无效的感染,先支付20%,无先支付,先支付20%
97,帕尼培南倍他米隆(限重症感染；其他抗菌素无效的感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重症感染；其他抗菌素无效的感染,先支付20%,无先支付,先支付20%
98,亚胺培南西司他丁(限重症感染；其他抗菌素无效的感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重症感染；其他抗菌素无效的感染,先支付20%,无先支付,先支付20%
99,厄他培南,西药,注射剂,乙类,属于,属于,属于,非处方用药,限腹腔感染、复杂性皮肤及附属器感染、社区获得性肺炎、复杂性尿道感染、急性盆腔感染；直结肠手术的预防感,先支付20%,无先支付,先支付20%
100,阿米卡星,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
101,庆大霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
102,大观霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
103,奈替米星,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
104,庆大霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
105,庆大霉素,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
106,妥布霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
107,依替米星,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
108,异帕米星,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
109,小诺霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
110,小诺霉素,西药,注射剂,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
111,卡那霉素,西药,注射剂,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
112,氯霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
113,氯霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
114,多西环素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
115,四环素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
116,土霉素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
117,米诺环素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
118,米诺环素,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
119,多西环素,西药,注射剂,乙类,属于,属于,属于,处方用药,限无法使用多西环素口服制剂的患者,先支付5%,无先支付,先支付5%
120,替加环素,西药,注射剂,乙类,属于,属于,属于,非处方用药,限复杂性腹腔感染、复杂性皮肤及软组织感染、社区获得性肺炎的重症患者，以及多重耐药的鲍曼不动杆菌或碳青,先支付10%,无先支付,先支付10%
121,阿奇霉素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
122,阿奇霉素,西药,颗粒剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
123,红霉素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
124,红霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
125,阿奇霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
126,地红霉素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
127,琥乙红霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
128,琥乙红霉素,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
129,克拉霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
130,克拉霉素,西药,缓释控释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
131,克拉霉素,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
132,罗红霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
133,罗红霉素,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
134,乙酰螺旋霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
135,阿奇霉素,西药,口服液体剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
136,交沙霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
137,环酯红霉素,西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
138,去甲万古霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,限甲氧西林耐药阳性球菌感染；病原不明的中枢神经系统、心血管系统重症感染及菌血症,先支付10%,无先支付,先支付10%
139,替考拉宁,西药,注射剂,乙类,属于,属于,属于,处方用药,限甲氧西林耐药阳性球菌感染；病原不明的中枢神经系统、心血管系统重症感染及菌血症,先支付20%,无先支付,先支付20%
140,万古霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,限甲氧西林耐药阳性球菌感染；病原不明的中枢神经系统、心血管系统重症感染及菌血症,先支付10%,无先支付,先支付10%
141,克林霉素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
142,克林霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
143,林可霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
144,林可霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
145,克林霉素磷酸酯,西药,口服常释剂型,甲类,属于,属于,属于,非处方用药,,无先支付,无先支付,无先支付
146,克林霉素棕榈酸酯,西药,口服常释剂型,甲类,属于,属于,属于,非处方用药,,无先支付,无先支付,无先支付
147,克林霉素棕榈酸酯,西药,口服液体剂,乙类,属于,属于,属于,非处方用药,限儿童或经口鼻饲管途径给药,先支付10%,无先支付,先支付10%
148,克林霉素棕榈酸酯,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
149,磷霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
150,氨曲南,西药,注射剂,乙类,属于,属于,属于,处方用药,限有药敏试验证据,先支付5%,无先支付,先支付5%
151,多粘菌素B(多粘菌素),西药,注射剂,乙类,属于,属于,属于,处方用药,限有药敏试验证据支持的多重耐药细菌感染的联合治疗,先支付5%,无先支付,先支付5%
152,夫西地酸(限甲氧西林耐药阳性球菌感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限甲氧西林耐药阳性球菌感染,先支付5%,无先支付,先支付5%
153,抗敌素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
154,磷霉素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
155,磷霉素,西药,口服散剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
156,粘菌素(黏菌素),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
157,乌洛托品,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
158,复方磺胺甲唑,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
159,磺胺嘧啶,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
160,磺胺嘧啶,西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
161,磺胺嘧啶,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
162,复方磺胺甲唑,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
163,甲氧苄啶,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
164,联磺甲氧苄啶,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
165,颠茄磺苄啶,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
166,小儿复方磺胺甲噁唑,西药,口服常释剂型,甲类,属于,属于,属于,非处方用药,,无先支付,无先支付,无先支付
167,小儿复方磺胺甲噁唑,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
168,小儿复方磺胺甲噁唑,西药,口服散剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
169,吡哌酸,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
170,环丙沙星,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
171,环丙沙星,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
172,诺氟沙星,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
173,氧氟沙星,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
174,左氧氟沙星,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
175,左氧氟沙星,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
176,氟罗沙星(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付5%,无先支付,先支付5%
177,吉米沙星(限二线用药),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限二线用药,先支付5%,无先支付,先支付5%
178,洛美沙星(限二线用药),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限二线用药,先支付5%,无先支付,先支付5%
179,洛美沙星(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付5%,无先支付,先支付5%
180,莫西沙星,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限其他抗菌药无效的急性窦炎、下呼吸道感染、社区获得性肺炎,先支付10%,无先支付,先支付10%
181,莫西沙星(莫西沙星氯化钠)(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限其他抗菌药无效的急性窦炎、下呼吸道感染、社区获得性肺炎；复杂性腹腔感染,先支付10%,无先支付,先支付10%
182,氧氟沙星,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
183,安妥沙星(限二线用药),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限二线用药,先支付5%,无先支付,先支付5%
184,帕珠沙星(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
185,依诺沙星(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
186,培氟沙星葡萄糖,西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
187,氧氟沙星甘露醇,西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
188,环丙沙星葡萄糖(环丙沙星氯化钠),西药,注射剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
189,左氧氟沙星葡萄糖(左氧氟沙星氯化钠),西药,注射剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
190,甲硝唑,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
191,甲硝唑,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
192,奥硝唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
193,奥硝唑(奥硝唑氯化钠、奥硝唑葡萄糖),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
194,替硝唑,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
195,替硝唑(替硝唑氯化钠、替硝唑葡萄糖),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
196,左奥硝唑氯化钠(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付5%,无先支付,先支付5%
197,甲硝唑氯化钠(甲硝唑葡萄糖),西药,注射剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
198,呋喃妥因,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
199,呋喃唑酮,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
200,吡嗪酰胺,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
201,对氨基水杨酸钠,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
202,对氨基水杨酸钠,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
203,利福喷丁(利福喷汀),西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
204,利福平,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
205,链霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
206,乙胺丁醇,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
207,异烟肼,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
208,异烟肼,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
209,丙硫异烟胺,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
210,卷曲霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
211,利福布汀,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
212,利福霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
213,利福平,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
214,帕司烟肼(对氨基水杨酸异烟肼),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
215,乙胺吡嗪利福异烟Ⅱ,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
216,乙胺利福异烟,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
217,异福(异烟肼/利福平),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
218,异福酰胺(异烟肼/利福平/吡嗪酰胺),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
219,环丝氨酸,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
220,氨苯砜,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
221,醋氨苯砜,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
222,氯法齐明,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
223,克霉唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
224,咪康唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
225,咪康唑,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
226,氟康唑,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
227,氟康唑,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
